# ATM waveform file: ILNSAW1B_20190515_175700.atm6DT7.h5
# Unique shot ID: 266524515
# Range gate ID: 3 (1-based)
# t_ns,w_counts
   2992.00,      8.00
   2992.25,      6.00
   2992.50,      8.00
   2992.75,      7.00
   2993.00,      8.00
   2993.25,      7.00
   2993.50,      8.00
   2993.75,      7.00
   2994.00,      8.00
   2994.25,      6.00
   2994.50,      8.00
   2994.75,      6.00
   2995.00,      8.00
   2995.25,      6.00
   2995.50,      7.00
   2995.75,      8.00
   2996.00,      8.00
   2996.25,      6.00
   2996.50,      8.00
   2996.75,      7.00
   2997.00,      7.00
   2997.25,      6.00
   2997.50,      8.00
   2997.75,      9.00
   2998.00,      7.00
   2998.25,      6.00
   2998.50,      8.00
   2998.75,      5.00
   2999.00,      9.00
   2999.25,      7.00
   2999.50,      6.00
   2999.75,      8.00
   3000.00,      8.00
   3000.25,      7.00
   3000.50,      8.00
   3000.75,      7.00
   3001.00,      7.00
   3001.25,      6.00
   3001.50,      7.00
   3001.75,      7.00
   3002.00,      8.00
   3002.25,      6.00
   3002.50,      8.00
   3002.75,      7.00
   3003.00,      8.00
   3003.25,      7.00
   3003.50,      7.00
   3003.75,      8.00
   3004.00,      8.00
   3004.25,      7.00
   3004.50,      8.00
   3004.75,      7.00
   3005.00,     10.00
   3005.25,      7.00
   3005.50,      6.00
   3005.75,      7.00
   3006.00,      8.00
   3006.25,      7.00
   3006.50,      7.00
   3006.75,      8.00
   3007.00,      8.00
   3007.25,      7.00
   3007.50,      7.00
   3007.75,      7.00
   3008.00,      9.00
   3008.25,     11.00
   3008.50,     21.00
   3008.75,     38.00
   3009.00,     61.00
   3009.25,     91.00
   3009.50,    117.00
   3009.75,    140.00
   3010.00,    158.00
   3010.25,    168.00
   3010.50,    172.00
   3010.75,    164.00
   3011.00,    156.00
   3011.25,    143.00
   3011.50,    129.00
   3011.75,    115.00
   3012.00,    107.00
   3012.25,     96.00
   3012.50,     90.00
   3012.75,     82.00
   3013.00,     75.00
   3013.25,     68.00
   3013.50,     60.00
   3013.75,     54.00
   3014.00,     48.00
   3014.25,     43.00
   3014.50,     41.00
   3014.75,     36.00
   3015.00,     34.00
   3015.25,     31.00
   3015.50,     28.00
   3015.75,     25.00
   3016.00,     24.00
   3016.25,     20.00
   3016.50,     18.00
   3016.75,     16.00
   3017.00,     16.00
   3017.25,     13.00
   3017.50,     11.00
   3017.75,     11.00
   3018.00,     11.00
   3018.25,      8.00
   3018.50,      9.00
   3018.75,      8.00
   3019.00,     10.00
   3019.25,      6.00
   3019.50,      9.00
   3019.75,     12.00
   3020.00,     12.00
   3020.25,     13.00
   3020.50,     15.00
   3020.75,     16.00
   3021.00,     18.00
   3021.25,     17.00
   3021.50,     18.00
   3021.75,     19.00
   3022.00,     18.00
   3022.25,     17.00
   3022.50,     17.00
   3022.75,     19.00
   3023.00,     18.00
   3023.25,     17.00
   3023.50,     18.00
   3023.75,     18.00
   3024.00,     17.00
   3024.25,     13.00
   3024.50,     12.00
   3024.75,     14.00
   3025.00,     14.00
   3025.25,      9.00
   3025.50,      7.00
   3025.75,     10.00
   3026.00,     11.00
   3026.25,      7.00
   3026.50,     10.00
   3026.75,      9.00
   3027.00,     11.00
   3027.25,     11.00
   3027.50,     10.00
   3027.75,     12.00
   3028.00,      9.00
   3028.25,     11.00
   3028.50,     11.00
   3028.75,     10.00
   3029.00,     12.00
   3029.25,     10.00
   3029.50,     10.00
   3029.75,     12.00
   3030.00,     13.00
   3030.25,     12.00
   3030.50,     14.00
   3030.75,     13.00
   3031.00,     16.00
   3031.25,     15.00
   3031.50,     14.00
   3031.75,     14.00
