# ATM waveform file: ILNSAW1B_20190515_175700.atm6DT7.h5
# Unique shot ID: 266524515
# Range gate ID: 3 (1-based)
# t_centroid (MATLAB): 3011.365720703735860
# t_centroid_ns,w_centroid_counts
   3008.66,     31.75
   3008.75,     38.00
   3009.00,     61.00
   3009.25,     91.00
   3009.50,    117.00
   3009.75,    140.00
   3010.00,    158.00
   3010.25,    168.00
   3010.50,    172.00
   3010.75,    164.00
   3011.00,    156.00
   3011.25,    143.00
   3011.50,    129.00
   3011.75,    115.00
   3012.00,    107.00
   3012.25,     96.00
   3012.50,     90.00
   3012.75,     82.00
   3013.00,     75.00
   3013.25,     68.00
   3013.50,     60.00
   3013.75,     54.00
   3014.00,     48.00
   3014.25,     43.00
   3014.50,     41.00
   3014.75,     36.00
   3015.00,     34.00
   3015.19,     31.75
